Cas17927	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
2	0.8333	-0.67433	0.719165	1.10441	813.455	6107.05	354.164	0.28742	1.0886	464.305	5977.38	1	1	-1	7	0	0
2	0.01647	-1.01971	1.143	0.221243	629.943	3843.42	319.274	0.35468	1.27328	455.826	3817.34	1	1	-1	47	0	0
2	0.07848	-1.15736	1.27642	0.308165	434.575	2167.52	288.672	0.30103	1.10098	530.29	2241.74	1	1	-1	48	0	0
2	-0.88429	-0.36183	0.560738	-0.878661	404.272	1954.46	284.205	0.33289	1.21737	494.626	2031.35	1	1	-1	52	0	0
2	-1.02006	-0.3538	0.565062	-1.0334	306.517	2549.67	372.795	0.16497	1.41979	463.712	2397.2	1	1	-1	53	0	0
2	-0.74119	-0.49917	0.68641	-0.699943	638.833	3384.66	297.522	0.46478	1.1893	506.092	3443.69	1	1	-1	127	0	0
2	-0.55751	-0.32361	0.49218	-0.51322	277.632	2373.53	377.936	0.47761	1.68614	480.048	2281.79	1	1	-1	132	0	0
2	-0.49385	-0.79909	0.966818	-0.383452	253.046	2412.42	399.1	0.44806	1.52844	444.258	2312.56	1	1	-1	134	0	0
2	0.40328	-0.87421	0.960539	0.641655	727.997	4292.25	313.858	0.3691	1.13076	530.273	4378.18	1	1	-1	162	0	0
2	0.30663	-1.06792	1.16513	0.555695	668.407	2691.91	259.397	0.27839	1.18506	536.962	2791.94	1	1	-1	163	0	0
2	0.40352	-0.88591	0.97234	0.643346	693.743	4948.8	345.228	0.40106	1.07924	419.886	4890.85	1	1	-1	164	0	0
2	0.34377	-0.84456	0.936029	0.570664	793.034	4203.03	297.571	0.26115	1.06969	464.103	4380.42	1	1	-1	165	0	0
2	0.36546	-0.86052	0.95017	0.597163	670.935	3379.97	290.116	0.29115	1.06538	514.985	3457.39	1	1	-1	167	0	0
2	0.37074	-1.09833	1.19	0.631987	434.803	2376.9	302.214	0.49586	1.17241	458.665	2473.37	1	1	-1	168	0	0
2	-0.73241	-0.40898	0.59447	-0.700939	500.275	3104.9	322.014	0.40563	1.33054	484.017	3167.58	1	1	-1	187	0	0
2	-0.70262	-0.39422	0.576825	-0.668992	460.172	2108.59	276.689	0.36303	1.19266	468.198	2179.06	1	1	-1	188	0	0
2	-0.63228	-0.5964	0.774684	-0.564809	517.659	3332.46	327.956	0.39161	1.01752	429.491	3356.73	1	1	-1	189	0	0
2	-0.60188	-0.47612	0.650356	-0.54497	443.374	4059.96	391.139	0.30196	1.10305	398.228	3686.29	1	1	-1	190	0	0
2	-0.808	-0.83793	1.03485	-0.734514	337.069	2140.93	325.759	0.45592	1.02094	408.164	2128.89	1	1	-1	192	0	0
2	-0.76781	-0.74353	0.93577	-0.700449	430.879	3115.82	347.587	0.31957	1.10752	394.588	3146.29	1	1	-1	193	0	0
2	-0.77116	-0.67546	0.867297	-0.7125	510.95	4866.97	398.929	0.45227	1.018	398.99	4457.24	1	1	-1	194	0	0
2	-0.73665	-0.49287	0.679628	-0.695565	602.868	4449.91	351.172	0.36184	1.07485	421.353	4345.17	1	1	-1	195	0	0
2	-0.38731	0.80336	-0.662215	-0.457164	941.24	6878.19	349.415	0.39353	1.275	412.82	6760.5	1	1	-1	197	0	0
2	-0.40782	0.38152	-0.234067	-0.429225	712.341	4175.83	312.955	0.40538	1.3912	495.246	4259.86	1	1	-1	198	0	0
2	-0.42964	0.60938	-0.46232	-0.481573	892.888	8154.17	390.613	0.36936	1.32526	393.437	7651.07	1	1	-1	199	0	0
2	-0.60893	0.47185	-0.306921	-0.667937	272.16	1962.77	347.119	0.39434	1.59409	415.934	2166.64	1	1	-1	200	0	0
2	1.03679	0.5706	-0.557478	1.18386	513.075	3552.19	340.105	0.40778	1.07969	351.709	3480.27	1	1	-1	300	0	0
2	1.03591	0.51022	-0.496383	1.19018	902.722	5208.57	310.483	0.39144	1.05678	382.779	5144.53	1	1	-1	302	0	0
2	0.98131	0.39568	-0.375639	1.14224	406.1	3200.96	362.893	0.41422	1.02628	357.201	3093.97	1	1	-1	303	0	0
2	-1.01121	-0.62596	0.839269	-0.99036	355.21	2233.22	324.099	0.40258	1.0439	360.189	2261.28	1	1	-1	325	0	0
2	-0.91914	-0.48741	0.690829	-0.902896	706.64	3621.06	292.6	0.36601	1.06245	382.366	3771.84	1	1	-1	327	0	0
2	-0.81581	-0.60827	0.803492	-0.771217	765.941	4135.91	300.361	0.377	1.11045	371.965	4129.87	1	1	-1	328	0	0
2	-0.73515	-0.43919	0.625248	-0.700377	612.153	4726.19	359.154	0.33118	1.09826	360.763	4488.92	1	1	-1	329	0	0
2	-0.87096	-0.31166	0.50882	-0.86965	625.254	3776.22	317.655	0.36579	1.08107	379.012	3750.69	1	1	-1	330	0	0
2	-0.98335	-0.62013	0.830826	-0.959516	863.91	3971.8	277.15	0.29346	1.24471	399.626	3963.34	1	1	-1	332	0	0
2	-0.88023	-0.35181	0.550242	-0.875278	338.872	2872.24	376.312	0.29462	1.14274	342.917	2721.08	1	1	-1	333	0	0
2	0.10744	-0.83839	0.951446	0.302273	437.834	2255.66	293.384	0.38365	1.03329	413.609	2325.78	1	1	-1	340	0	0
2	0.13402	-1.19017	1.30448	0.375044	568.522	2634.57	278.251	0.44216	1.05247	406.265	2779.36	1	1	-1	349	0	0
2	0.00383	-1.14758	1.27337	0.222438	505.857	2705.89	298.949	0.29079	1.02107	373.332	2687.71	1	1	-1	350	0	0
2	-0.1504	0.99053	-0.873053	-0.211567	250.06	1344.9	299.763	0.05589	1.12372	355.315	1425.11	1	1	-1	377	0	0
2	0.16911	-0.93576	1.04419	0.383924	475.553	1946.82	261.528	0.3812	1.05385	386.906	2071.36	1	1	-1	460	0	0
2	0.92247	0.6077	-0.584494	1.04989	506.189	2301.83	275.635	0.31312	1.09145	393.177	2348.58	1	1	-1	473	0	0
2	0.81865	0.80844	-0.77783	0.907964	782.691	4114.26	296.351	0.36585	1.15627	400.478	4251.05	1	1	-1	474	0	0
2	0.91112	0.57381	-0.549209	1.04115	179.996	1820.26	411.046	0.70098	1.04985	403.659	2534.51	1	1	-1	543	0	0
2	0.82561	0.58133	-0.548973	0.943393	705.902	4621.51	330.731	0.34636	1.1637	419.577	4548.57	1	1	-1	544	0	0
2	0.41896	0.07285	0.00209956	0.54454	339.244	4836.85	488.068	-0.22223	1.47373	356.237	3951.08	1	1	-1	545	0	0
2	0.96089	0.06822	-0.0428703	1.15883	463.032	3185.95	339.054	0.42162	1.06332	351.461	3234.48	1	1	-1	554	0	0
2	-0.39204	1.21356	-1.07629	-0.512275	1535.48	8770.1	308.913	0.36898	1.01176	381.716	8714.09	1	1	-1	577	0	0
2	-0.37904	0.98515	-0.846671	-0.469848	628.697	4931.72	362.021	0.32262	1.10657	379.861	4842.47	1	1	-1	578	0	0
2	-0.34157	1.13698	-1.00353	-0.44583	1291.25	7756.91	316.807	0.36633	1.03438	410.113	7714.17	1	1	-1	579	0	0
2	-0.32014	1.11255	-0.980805	-0.418597	778.25	4750.03	319.333	0.42218	1.09193	399.475	4737.14	1	1	-1	580	0	0
2	0.79894	0.60906	-0.574551	0.909827	538.526	2745.79	291.867	0.27404	1.13985	386.852	2830.7	1	1	-1	670	0	0
2	1.25136	0.06638	-0.0676213	1.48802	692.014	4529.43	330.689	0.32938	1.02645	377.61	4639.75	1	1	-1	862	0	0
2	-0.41533	-0.98282	1.14528	-0.272243	184.012	3095.35	530.135	0.21525	1.32662	305.858	2433.56	1	1	-1	905	0	0
2	-0.70058	-0.83417	1.02121	-0.613318	689.303	4028.43	312.477	0.38549	1.00192	413.876	4094.1	1	1	-1	907	0	0
2	0.90532	0.32692	-0.299195	1.06452	174.155	1983.73	436.243	0.69447	1.08479	306.537	2199.57	1	1	-1	1057	0	0
2	0.94225	0.55075	-0.528759	1.0792	1253.5	7720.65	320.789	0.27491	1.16221	361.377	7557.57	1	1	-1	1058	0	0
2	0.90361	0.46245	-0.435991	1.04615	470.244	3408.5	347.997	0.28023	1.24037	345.968	3269.79	1	1	-1	1059	0	0
2	1.10118	-0.02203	0.0354751	1.32866	813.441	4823.8	314.765	0.39452	1.14423	392.288	4861.79	1	1	-1	1094	0	0
2	1.13448	-0.07097	0.0818782	1.37231	427.59	1926.8	274.385	0.23889	1.31658	377.327	1985.82	1	1	-1	1095	0	0
2	-0.57179	1.09044	-0.935408	-0.700908	396.863	2588.32	330.099	0.34198	1.00963	338.318	2603.04	1	1	-1	1097	0	0
2	-0.60792	1.00125	-0.841971	-0.731007	297.273	1363.85	276.86	0.19841	1.06233	385.505	1472.38	1	1	-1	1168	0	0
2	-0.42531	1.13442	-0.993269	-0.540354	906.03	5472.63	317.674	0.32802	1.10398	350.263	5457.43	1	1	-1	1169	0	0
2	-0.2382	1.17575	-1.05217	-0.333466	216.812	1508.19	340.912	0.36492	1.38472	351.858	1528.54	1	1	-1	1170	0	0
2	-0.96867	-0.21413	0.419218	-0.992133	199.882	1596.48	365.3	0.35388	1.32738	351.466	1544.34	1	1	-1	1298	0	0
2	0.03417	1.39519	-1.29887	-0.051625	499.738	2855.74	308.989	0.29832	1.13858	357.503	2857.44	1	1	-1	1355	0	0
2	0.20006	1.1425	-1.05873	0.166894	364.101	2768.64	356.433	0.29997	1.23516	364.461	2751.47	1	1	-1	1357	0	0
2	0.19524	1.34198	-1.25985	0.13724	509.787	2283.74	273.58	0.35116	1.22298	405.976	2338.6	1	1	-1	1358	0	0
2	1.05769	-0.11487	0.133274	1.29066	635.094	3683.46	311.289	0.42923	1.06709	373.04	3720.01	1	1	-1	1360	0	0
2	1.05003	0.02242	-0.00475554	1.26534	1024.97	6717.88	330.914	0.35562	1.04341	350.193	6661.17	1	1	-1	1362	0	0
2	1.04762	-0.17758	0.197565	1.28687	373.961	1721.96	277.366	0.31992	1.08703	371.953	1816.19	1	1	-1	1363	0	0
2	-0.45515	-0.78042	0.944403	-0.341889	619.993	2951.16	282.006	0.32834	1.10143	371.9	3055.5	1	1	-1	1369	0	0
2	0.85356	0.62981	-0.600523	0.969167	539.937	2885.63	298.816	0.28894	1.13636	357.484	2882.9	1	1	-1	1442	0	0
2	0.9503	0.6629	-0.642823	1.07471	669.75	4576.94	337.899	0.35462	1.01748	402.025	4514.36	1	1	-1	1443	0	0
2	0.75585	0.74117	-0.7041	0.845003	496.157	3336.2	335.175	0.40521	1.09944	378.159	3299.01	1	1	-1	1444	0	0
2	0.36424	-0.95909	1.04988	0.607738	300.709	2061.95	338.471	0.28828	1.14446	361.748	1996.29	1	1	-1	1459	0	0
2	1.07579	-0.11827	0.135052	1.31158	950.952	5592.05	313.445	0.41237	1.05095	394.36	5534	1	1	-1	1604	0	0
2	1.19701	-0.17134	0.177573	1.4553	647.779	5303.96	369.864	0.36445	1.18679	320.365	5068.88	1	1	-1	1605	0	0
2	1.05568	-0.09572	0.114107	1.28607	931.687	5182.43	304.851	0.38178	1.04339	366.123	5146.93	1	1	-1	1607	0	0
2	0.82341	-0.04237	0.0814762	1.01655	243.444	1404.6	310.479	0.12959	1.13805	352.306	1432.34	1	1	-1	1608	0	0
2	0.89388	0.69443	-0.669515	1.00699	327.764	2531.38	359.214	0.28961	1.1214	344.373	2522.68	1	1	-1	1668	0	0
2	0.93623	0.59796	-0.575912	1.06665	538.977	3210.06	315.447	0.3348	1.30536	423.927	3227.82	1	1	-1	1747	0	0
2	0.84944	0.69307	-0.664069	0.956828	296.368	2057.49	340.572	0.28521	1.38607	408.105	2051.38	1	1	-1	1748	0	0
2	0.73171	-0.89123	0.947649	1.01567	178.218	2027.32	435.955	0.33513	1.6798	317.311	1823.22	1	1	-1	1824	0	0
2	-0.65883	-0.00578	0.180295	-0.666515	704.792	3907.78	304.362	0.32119	1.04235	348.015	3996.63	1	1	-1	1892	0	0
2	-0.59364	1.33791	-1.18347	-0.75567	891.771	4455.54	288.921	0.35844	1.08872	370.314	4441.15	1	1	-1	1994	0	0
2	-0.48009	1.38706	-1.24355	-0.633036	230.389	1892.14	370.425	0.46121	1.33455	329.704	1821.4	1	1	-1	1995	0	0
2	0.62605	-0.82606	0.891475	0.888101	980.119	6001.73	319.856	0.38655	1.04414	357.697	5941.57	1	1	-1	2013	0	0
2	0.68517	-0.7368	0.795861	0.944228	951.489	5584.04	313.132	0.41974	1.01608	390.069	5571.28	1	1	-1	2014	0	0
2	0.63851	-0.80157	0.865586	0.899241	450.817	2386.18	297.377	0.35557	1.13505	354.132	2467.7	1	1	-1	2015	0	0
2	-0.2465	-0.99074	1.13782	-0.0800834	341.893	1682.35	286.727	0.21649	1.14046	333.727	1732.83	1	1	-1	2057	0	0
2	-0.7943	-0.57858	0.77152	-0.750458	338.637	2953.12	381.705	0.16242	1.10085	303.771	2759.73	1	1	-1	2230	0	0
2	-0.31685	1.47452	-1.34687	-0.458777	365.517	3259.89	386.014	0.38774	1.12102	316.214	3069.65	1	1	-1	2264	0	0
2	-0.56758	1.24506	-1.09204	-0.714895	781.657	5133.27	331.241	0.2965	1.05906	344.068	5111.31	1	1	-1	2265	0	0
2	-0.56749	1.34368	-1.1917	-0.726755	566.618	3334.93	313.584	0.27264	1.05296	324.336	3388.61	1	1	-1	2267	0	0
